AÑO;MES;BOGOTÁ;CALI;ENVIGADO;BARRANQUILLA;BUCARAMANGA;MEDELLÍN
2013;Enero;7.036;1.372;984;737;650;721
2013;Febrero;7.909;1.687;1.281;823;669;765
2013;Marzo;8.237;1.690;1.227;950;582;759
2013;Abril;10.341;1.870;1.519;1.100;710;947
2013;Mayo;9.425;1.940;1.451;1.097;654;1.005
2013;Junio;8.658;1.780;1.322;954;582;752
2013;Julio;10.092;2.183;1.606;1.037;677;896
2013;Agosto;9.353;1.756;1.289;1.065;642;854
2013;Septiembre;9.660;1.870;1.363;1.024;831;776
2013;Octubre;10.356;2.014;1.472;1.107;703;874
2013;Noviembre;9.682;1.892;1.406;974;714;961
2013;Diciembre;12.541;2.360;1.885;1.309;950;1.031
2014;Enero;7.127;1.659;1.187;785;564;706
2014;Febrero;8.849;1.845;1.291;936;605;910
2014;Marzo;9.234;1.875;1.455;886;647;906
2014;Abril;9.956;2.118;1.473;954;581;996
2014;Mayo;9.574;2.199;1.447;1.035;674;1.051
2014;Junio;8.426;1.972;1.238;882;550;802
2014;Julio;9.401;2.191;1.639;1.121;773;1.179
2014;Agosto;10.186;2.346;1.432;953;717;1.076
2014;Septiembre;10.400;2.482;1.572;1.073;881;1.049
2014;Octubre;11.373;2.548;1.650;1.170;817;1.245
2014;Noviembre;8.910;2.258;1.324;934;614;1.066
2014;Diciembre;16.531;3.124;1.939;1.436;1.052;1.469
2015;Enero;7.516;1.705;1.078;805;573;838
2015;Febrero;7.754;1.934;1.130;815;554;945
2015;Marzo;8.430;2.322;1.224;983;526;1.061
2015;Abril;7.394;1.945;1.086;833;590;988
2015;Mayo;7.050;2.152;1.104;925;507;1.112
2015;Junio;7.245;2.069;1.040;813;482;1.149
2015;Julio;8.606;2.647;1.266;951;552;1.387
2015;Agosto;7.537;2.182;1.113;1.013;553;1.177
2015;Septiembre;8.764;2.342;1.179;955;622;1.358
2015;Octubre;7.096;2.318;1.090;874;520;1.261
2015;Noviembre;6.583;2.124;964;787;457;1.254
2015;Diciembre;9.787;2.793;1.305;1.129;614;1.717
2016;Enero;5.240;1.689;918;624;357;1.183
2016;Febrero;6.403;2.179;1.121;698;425;1.355
2016;Marzo;6.615;1.947;969;676;373;1.324
2016;Abril;6.452;2.025;986;736;391;1.355
2016;Mayo;6.460;1.954;884;778;406;1.348
2016;Junio;7.056;1.947;889;709;366;1.390
2016;Julio;5.646;2.035;789;613;332;1.190
2016;Agosto;7.193;2.212;1.056;789;375;1.701
2016;Septiembre;7.083;2.144;970;819;386;1.524
2016;Octubre;6.183;1.985;824;672;355;1.419
